logFC	AveExpr	t	P.Value	adj.P.Val	B
3417	1.57562678028012	2.67717941036492	8.86828720184368	2.77693671317153e-06	0.0102524503450293	4.9643478030016
3548	1.51892269054264	2.88372191898512	7.55251864552318	1.25735625360257e-05	0.0135603636115629	3.62717467202419
2924	1.41343470971768	1.74796773581803	7.23517910755865	1.86193370216328e-05	0.0135603636115629	3.27013280319076
3715	1.76045333037621	2.54519036117008	7.13095638565662	2.1236959978741e-05	0.0135603636115629	3.14973261438105
2934	1.21983840196936	1.5017805048845	7.08150164110423	2.26151599429418e-05	0.0135603636115629	3.09204912088781
2904	1.11347647665556	1.60138349780555	6.90481293830283	2.83808132719287e-05	0.0135603636115629	2.88302298577054
2886	1.38258333060573	1.98920018433715	6.82408950028203	3.15241699222621e-05	0.0135603636115629	2.78598143713366
2877	1.46106537187024	1.9165942629694	6.81201844385902	3.20254944368423e-05	0.0135603636115629	2.77138624812098
2878	1.57556723206172	2.25754767293755	6.75606238200137	3.446385842722e-05	0.0135603636115629	2.70344264125182
334	-1.11964999803448	1.7406364954659	-6.70776367885705	3.67290455351107e-05	0.0135603636115629	2.64441608017354
2913	1.55354792933089	1.582571919121	6.53926911799113	4.59696703596601e-05	0.0137528228667208	2.43571119265555
369	1.1854766758756	1.58536812659112	6.46516863852618	5.07971217990834e-05	0.0137528228667208	2.34254477026027
3740	1.63379929448282	2.72179177323646	6.43081731988815	5.32168726450986e-05	0.0137528228667208	2.29906625095406
3519	0.999837238591838	2.44640907688678	6.40203733911733	5.53393020369624e-05	0.0137528228667208	2.26249809704729
2928	1.34586796436083	1.68138870763399	6.39495353980097	5.58754991876523e-05	0.0137528228667208	2.25347755445155
2820	-1.26617654711577	2.15034665003505	-6.29623490470085	6.39560548732658e-05	0.0147578596620061	2.12695244041858
1120	-0.95522907580258	1.0066072180799	-6.15395932626769	7.78788130433243e-05	0.0162890037172514	1.94190616964426
2885	1.3258432398098	1.6959719509211	6.13995102897956	7.94155110808575e-05	0.0162890037172514	1.92351366473245
2828	-1.08702765872673	1.95864355392047	-6.06456126078412	8.82620374219846e-05	0.0171507074822088	1.82399381718885
2891	1.12914836500958	1.63298215858908	5.9544847645843	0.000103122136648123	0.0190363464252435	1.67705824290429
2897	1.18228176769351	1.58092982317976	5.8943367433113	0.00011235269350699	0.0192897866065998	1.59595068451518
3690	1.37704837743226	2.53809332082323	5.85532681695097	0.000118808279516351	0.0192897866065998	1.54303683892673
2786	1.34137449093027	2.0439689185316	5.84739137735988	0.000120169309846099	0.0192897866065998	1.53224312879092
2935	1.29508137702799	1.73584710575011	5.8132642081124	0.000126215103773746	0.0194160901305279	1.4857082813239
2923	1.10022057804753	1.62288785829326	5.75047780819229	0.000138202274317269	0.0204097118711743	1.39960488987173
226	-1.10296427778256	1.88738904962946	-5.70896867579186	0.000146790176913579	0.0208442051217283	1.34233176265693
2919	1.24945043080723	1.61028631062799	5.67550131777313	0.000154128432327543	0.0210756360056774	1.29595213147374
2824	1.48523050346735	2.23539586476381	5.51040654101087	0.000196514029977014	0.025911778524112	1.06451567294344
3616	1.45405973627768	3.22135595338221	5.4337939017525	0.000220254194189801	0.0274682164286923	0.955622668014724
