logFC	AveExpr	t	P.Value	adj.P.Val	B
23056	1.68742820030061	2.16519267948155	11.7992324033293	2.68266201120134e-07	0.00320954989703524	7.07827470114079
10002	2.09501553239637	2.16514371166937	11.3048527529857	4.04416874568203e-07	0.00320954989703524	6.7412504409143
23153	1.59394243927886	2.10717242685418	11.0901775244035	4.8567631168696e-07	0.00320954989703524	6.58886595000195
23148	1.5829012236533	2.21550553758727	10.9424508103388	5.5187205382543e-07	0.00320954989703524	6.48179594192428
23147	1.41514223950914	2.11285674298197	10.5878351584675	7.54575040735253e-07	0.00351073583452484	6.21718272518554
10263	2.24156965138398	2.76128798459543	10.1814080294565	1.09203350930209e-06	0.00370583528417848	5.90015842253035
9931	1.86471502041859	2.53995350146137	10.1352710132761	1.13971849695591e-06	0.00370583528417848	5.86320704468225
23282	1.3026757280877	1.88225741971075	10.0155090839154	1.27441354397231e-06	0.00370583528417848	5.76634804814065
23154	1.52842343911086	2.08044110926981	9.80407175269376	1.55648883682321e-06	0.00373437237161558	5.59197016964478
12532	1.62173673721369	2.95729425118722	9.74893185777665	1.64076157635642e-06	0.00373437237161558	5.54577364305682
12533	1.73147333712695	3.29200071974436	9.66300198116845	1.78215313545782e-06	0.00373437237161558	5.47317656188171
398	-1.6869138833762	1.87453727563624	-9.48150268020583	2.12636631274496e-06	0.00373437237161558	5.31738156068945
206	-2.74240490101236	4.27533981977454	-9.43923979496143	2.21650064972498e-06	0.00373437237161558	5.28061845308597
5077	1.44310864284851	1.2640143380505	9.4251811843181	2.24739772181654e-06	0.00373437237161558	5.26834822185693
13810	1.65523960208759	1.99203538904261	9.29133496700078	2.56616755324462e-06	0.00397978371940863	5.15049171408095
18296	-2.1659656595236	4.03479003528301	-9.08043352147678	3.17266302669752e-06	0.00424410966010935	4.96091420795431
23379	1.34177609895775	1.86610161220563	9.00120925361777	3.43936331222045e-06	0.00424410966010935	4.88845243280066
9572	-1.14957528766165	0.931727522891529	-9.00048450075117	3.44191281308841e-06	0.00424410966010935	4.88778635647593
10024	1.97292587500041	2.29523259111709	8.98041826709666	3.51332258397101e-06	0.00424410966010935	4.86932164481863
10330	1.60417971939615	1.80652626495438	8.94353671036507	3.64880682638469e-06	0.00424410966010935	4.83526729525119
13950	1.69285748850986	2.03286868420069	8.8858644901152	3.87217607832847e-06	0.00428944914810263	4.78171228632151
10047	1.80372600756892	2.44212638414543	8.76981140171108	4.36801316143457e-06	0.0045457697112572	4.67281042357809
23164	1.26957034300066	1.80610984019525	8.67697528848454	4.8143455179833e-06	0.0045457697112572	4.58459107505
247	-2.57003363670989	4.50594024841308	-8.59177954335271	5.26774974709413e-06	0.0045457697112572	4.50275724133926
10012	1.97666103256678	2.07673474258265	8.59119050542758	5.27104148953716e-06	0.0045457697112572	4.50218850921148
5008	1.28077329955519	1.17288832292644	8.57547917366967	5.35967083978925e-06	0.0045457697112572	4.48700383153704
3198	1.74787317927594	2.30289085427845	8.55049770777844	5.50394200657615e-06	0.0045457697112572	4.46280026898371
23152	1.46931465002972	2.24035937520577	8.54264225690262	5.55017500447602e-06	0.0045457697112572	4.45517430204921
23058	1.16237195297866	1.80555602621879	8.49558937982594	5.83607777294101e-06	0.0045457697112572	4.40934392526075
5076	1.32408535657735	1.1914597357358	8.4914105249125	5.86223149798891e-06	0.0045457697112572	4.40526100810951
12268	-1.98413952798556	4.63824301058592	-8.33160144398519	6.96440703528346e-06	0.00522622583425159	4.24755952358185
5080	1.46534932552941	1.35979418094818	8.29030347088709	7.28447649913537e-06	0.00523542718955902	4.20630686184812
9635	2.24417441881704	3.82709747302981	8.23723169368465	7.71942851411658e-06	0.00523542718955902	4.15298879345587
13949	1.26795985144271	1.89607606515831	8.22442033668326	7.82859214695283e-06	0.00523542718955902	4.14006641914636
23165	0.967898225551877	1.62009923066168	8.21881451327578	7.87688396314172e-06	0.00523542718955902	4.13440569122287
19575	1.75310946067498	2.2838464422428	8.17175151075434	8.29528600250917e-06	0.00536036772989919	4.08672940234515
21232	-2.44459058762735	3.91941781803322	-8.10149918499024	8.96533109027256e-06	0.00537236286104697	4.01505234298605
5631	6.03214080374831	5.61574288123799	8.09058225957939	9.07461923267045e-06	0.00537236286104697	4.00385895801471
10256	1.73567387947845	2.0999695475672	8.08451480187749	9.13598348034287e-06	0.00537236286104697	3.99763142055838
8921	1.53401406077771	2.64196603396352	8.07456289866725	9.2376096996036e-06	0.00537236286104697	3.98740699738396
5642	7.44108372908797	6.20062208308812	7.99625728295853	1.00813303459586e-05	0.00537596185808848	3.9065237345062
4950	1.16676589582619	1.38094109451762	7.99502763352181	1.00952279515782e-05	0.00537596185808848	3.90524745148882
23155	1.21464600477373	1.93436088535499	7.97951787783641	1.02723140810703e-05	0.00537596185808848	3.8891330896458
23156	1.37272693101607	2.06345608320799	7.9794668045971	1.02729027517021e-05	0.00537596185808848	3.88907997518497
10246	2.00061117687133	2.29533026794725	7.96857568261003	1.03992728200998e-05	0.00537596185808848	3.87774602612997
10003	1.72547063105934	2.33081950899162	7.93512648394496	1.07980301424541e-05	0.00546075163486759	3.84284270396423
301	-2.1093977117616	4.38103729211311	-7.90134547503905	1.12176107212399e-05	0.00547899181241888	3.80744857447581
5630	5.82759357013189	5.59392685769268	7.89447053097903	1.1305145810777e-05	0.00547899181241888	3.80022748688755
2861	1.24428809282156	1.97743369201354	7.8655887911073	1.16810491624333e-05	0.00554563768705481	3.7698254483659
13895	1.5039547193373	1.94343830384443	7.75245992301556	1.3289215350513e-05	0.0061764311349183	3.64970610108943
10191	2.43799520554559	2.12293524923285	7.71134388926439	1.39318129392721e-05	0.0061764311349183	3.60563746839714
13143	2.06254364387789	3.00106187472211	7.69164779515719	1.42514893729881e-05	0.0061764311349183	3.58444859887527
23486	0.953638628774444	1.53602899694768	7.68919732486328	1.42918137372543e-05	0.0061764311349183	3.58180884604683
10147	1.56658455816684	2.71430412888686	7.67587021584646	1.45132949095495e-05	0.0061764311349183	3.56743849140497
10251	1.54878094532096	1.88335149147272	7.6678855451563	1.46477686021897e-05	0.0061764311349183	3.55881758961611
12534	1.45562811833516	3.0284089685661	7.65199444567747	1.49194283932753e-05	0.0061764311349183	3.54163527111873
10443	0.923762361365412	1.94204879881007	7.63898536259031	1.51458798961387e-05	0.0061764311349183	3.52754434295952
941	-2.31095398513084	3.73664031685862	-7.61375929312499	1.55956667764319e-05	0.0061764311349183	3.50015668341935
23149	1.04599601716589	1.80112346295215	7.59678033731952	1.59065336577914e-05	0.0061764311349183	3.48167533506379
10207	1.62541390054169	2.0897801958347	7.59549869464934	1.59302698746979e-05	0.0061764311349183	3.48027873183613
13482	-3.35669186444597	5.48703891424263	-7.56440661059227	1.65180039476059e-05	0.00629931681693699	3.44633079768979
10013	1.80698117086116	2.20405096969386	7.5324080783535	1.71474537533711e-05	0.00637829889053927	3.41125850944756
23163	1.22104407223314	1.91071332712027	7.5261545066688	1.72734741909459e-05	0.00637829889053927	3.40438822433404
18419	-2.06181581431635	3.17583337304743	-7.49481049614111	1.79203895348508e-05	0.00650233042702522	3.36987409162527
13855	1.63876381154676	1.94285048475385	7.46477128769176	1.8565028140747e-05	0.00650233042702522	3.33667270930348
10447	0.924541517207831	1.95137050481486	7.4540836545256	1.88003968540786e-05	0.00650233042702522	3.32483064680307
4987	1.02421712603901	1.55636420903038	7.44819724609061	1.8931407065361e-05	0.00650233042702522	3.31830182207106
13465	-2.74879623642843	4.25363874204148	-7.43012201916397	1.9339905112756e-05	0.00650233042702522	3.29822463473374
1215	1.21126148178013	1.92155037604779	7.41972847752233	1.95791066937678e-05	0.00650233042702522	3.28665988208818
19308	0.932175112364193	0.961937691662376	7.41499318432706	1.96891459648895e-05	0.00650233042702522	3.28138612431865
20354	-0.95929062475837	1.79697547208197	-7.39804298249177	2.00885513230235e-05	0.00650233042702522	3.26248348870076
12644	-1.97774569269827	4.52462682526082	-7.39581026271809	2.01418115700948e-05	0.00650233042702522	3.25999067696677
5016	1.24749692128053	1.44763015818571	7.37206862889941	2.07176943371412e-05	0.00650233042702522	3.23344134289827
5245	6.65857683430366	6.04983724856645	7.36263541100164	2.09514292602053e-05	0.00650233042702522	3.22287119720771
23611	1.4902069725915	3.75117615785534	7.36214982713491	2.09635378939471e-05	0.00650233042702522	3.2223267598806
9693	-1.82908918279022	1.14230156490833	-7.30759868439609	2.23732286102825e-05	0.00684826864685529	3.16095832350773
5081	1.25680677264493	1.30814149666723	7.29187851576747	2.27982398210293e-05	0.00688773315528059	3.14319772934205
10100	1.11510951283515	1.84859776116177	7.21772298941238	2.49242369465864e-05	0.0070182452702351	3.05895676778059
10442	0.885088731348984	2.18146070447409	7.21238615387797	2.50852988142826e-05	0.0070182452702351	3.05286469481701
12531	1.26508155439121	2.44173637678423	7.2067486292905	2.52566574263888e-05	0.0070182452702351	3.04642507843343
15775	1.0233782960092	1.79836407191131	7.19807031932668	2.55229207814184e-05	0.0070182452702351	3.03650339535411
5261	-2.91665789084595	3.18046105229949	-7.19662625475823	2.55675203741492e-05	0.0070182452702351	3.03485141644814
17738	-1.86675971702647	2.94241886659166	-7.19188354731202	2.57145911469858e-05	0.0070182452702351	3.02942381629856
12525	1.42535757420398	3.21819494008544	7.18087529324471	2.60594904489378e-05	0.0070182452702351	3.01681377463304
205	-2.78786369527178	4.57379288709495	-7.16800443995837	2.64690966287609e-05	0.0070182452702351	3.00204865823204
10446	0.847474395795635	2.23610760042572	7.15528943748647	2.68805802281004e-05	0.0070182452702351	2.98743959076219
13859	1.29978129687872	1.85787864526993	7.14822818080658	2.71120770297385e-05	0.0070182452702351	2.97931669523002
5079	1.50790490533935	2.13040151535718	7.12454166113485	2.79044799354826e-05	0.0070182452702351	2.95201792521652
12526	1.69304431420634	3.88821007288958	7.11569235708017	2.82069106239697e-05	0.0070182452702351	2.94179886876575
13483	-3.37976982085468	4.67153321000568	-7.08711886630707	2.92078447004605e-05	0.0070182452702351	2.90872734980636
22207	1.09973286898681	2.24775200150548	7.08485508279218	2.92887694441552e-05	0.0070182452702351	2.90610228313256
9296	-1.49846305365245	1.40500073186748	-7.08123116439793	2.94188201631287e-05	0.0070182452702351	2.90189850863856
10169	0.962956493627911	1.65945271205545	7.07926449284548	2.94896585681942e-05	0.0070182452702351	2.89961637782561
13114	1.32344556316896	2.07838005708638	7.07332684093742	2.97046492964122e-05	0.0070182452702351	2.89272299718844
6395	1.12968177223496	2.28970755394167	7.06578931529932	2.99800095174006e-05	0.0070182452702351	2.88396505032313
10739	0.899273714984522	1.70936960151741	7.05672797427952	3.03146913062668e-05	0.0070182452702351	2.87342592814907
19094	1.09332509079497	1.89027129459479	7.04190683503021	3.08708390486928e-05	0.0070182452702351	2.85616260652809
9868	0.912704316315328	1.62401007978141	7.04054693950706	3.09224167327102e-05	0.0070182452702351	2.85457707243582
10240	1.52365877172864	1.99803778978715	7.0354396237379	3.11169578273304e-05	0.0070182452702351	2.84861999102594
4679	-2.59862458334047	3.00294721490736	-7.03289802493583	3.12142610824976e-05	0.0070182452702351	2.84565413685293
12516	1.10745683483388	2.52248076116803	7.02905017971384	3.13621986938469e-05	0.0070182452702351	2.84116224693958
9600	1.72037442966072	2.2576561634073	7.01070396183491	3.20780377089876e-05	0.0070182452702351	2.81971635515932
19577	1.18624815015581	2.57064878678688	7.00816222976388	3.21785950393344e-05	0.0070182452702351	2.81674141200976
5260	-3.16545518628561	3.47750392210784	-7.00040641087017	3.24875438974827e-05	0.0070182452702351	2.80765801302151
23162	0.921083254577136	2.01075478498926	6.98397454323102	3.31527285390563e-05	0.0070182452702351	2.78838515586452
13161	1.40521557338779	3.11572973060856	6.95170731219391	3.45021245138613e-05	0.0070182452702351	2.75042691546038
18414	-1.22426684776815	3.01587234881621	-6.94867607404755	3.46319019756615e-05	0.0070182452702351	2.74685340275289
10021	1.52285435916707	1.66675467288944	6.94838870309612	3.46442326004984e-05	0.0070182452702351	2.7465145541754
13185	1.13410848814457	2.12148436546756	6.94431645754078	3.48194763232073e-05	0.0070182452702351	2.74171156346598
13338	1.15766468784119	2.09974256940161	6.94168149076671	3.4933378263752e-05	0.0070182452702351	2.73860249831051
9950	2.21923008497625	3.68800720715514	6.93689008948893	3.51415282749517e-05	0.0070182452702351	2.7329464504117
2691	1.07256494214982	2.43153740374848	6.91943071168107	3.59114042754868e-05	0.0070182452702351	2.71230852199121
13097	0.764011270502571	1.64219810151024	6.91721282851142	3.60104979844648e-05	0.0070182452702351	2.70968373099147
4896	1.11915667285967	1.61374786737418	6.90894341628323	3.63825794899556e-05	0.0070182452702351	2.69989092419599
10068	1.61679955245343	3.11402139827846	6.90770945025243	3.64384564686594e-05	0.0070182452702351	2.69842879334056
4901	0.993064841897284	1.73803229812991	6.90406595035601	3.66039840241568e-05	0.0070182452702351	2.6941103187901
5009	1.0679497871971	1.5267895913039	6.89699927643609	3.69273469529401e-05	0.0070182452702351	2.68572906580724
10046	1.78080797043534	1.88155437867707	6.8943044346427	3.70514704829777e-05	0.0070182452702351	2.68253102189049
13110	1.21794436481453	2.04266757438719	6.89332681460141	3.70966105509721e-05	0.0070182452702351	2.68137059435623
13096	0.77498713892514	1.61533970132462	6.8899967136503	3.72508185617822e-05	0.0070182452702351	2.67741675655598
10340	1.57690493615842	1.99812119535626	6.88700421249915	3.73899833274319e-05	0.0070182452702351	2.67386238861027
3373	0.979548053077574	2.45954856146899	6.88388424162878	3.75356734880811e-05	0.0070182452702351	2.67015524287294
13464	-2.51843668901882	4.8554003668579	-6.88360152563318	3.75489054257522e-05	0.0070182452702351	2.66981925070371
12271	-1.32652360327402	3.37297754726328	-6.87401348678274	3.80006465407934e-05	0.0070182452702351	2.6584175759258
9878	1.13378962329869	2.22606629058378	6.86676173761067	3.83462067472814e-05	0.0070182452702351	2.64978530102881
19576	1.78072217159476	2.29891582574406	6.85348567745401	3.89876530568148e-05	0.0070182452702351	2.63396216969927
2070	-1.29606018025281	2.64204113187533	-6.85054419666365	3.91313342908581e-05	0.0070182452702351	2.63045290358679
5130	0.904535153047692	1.37232407565008	6.84593798790975	3.93574805658518e-05	0.0070182452702351	2.62495505646417
15882	0.855800078252434	1.58497056410341	6.83560056422976	3.98701550460154e-05	0.0070182452702351	2.61260540073466
22206	0.987365480370124	2.12406688196557	6.83547464574875	3.98764440824448e-05	0.0070182452702351	2.6124548761425
10247	1.72521020573313	2.37388344976555	6.8325235098768	4.00241462840446e-05	0.0070182452702351	2.60892639178824
3506	1.32108436747737	1.95098156805146	6.82853785650549	4.02245627071308e-05	0.0070182452702351	2.60415899690305
20064	-1.42595965024768	2.34884694176157	-6.8254568698797	4.03802301958274e-05	0.0070182452702351	2.6004721302858
18426	2.65699140074172	5.5314340212274	6.82454085178463	4.0426637416133e-05	0.0070182452702351	2.59937571048286
4981	1.09954236317492	1.81109707190462	6.79310035670238	4.20548659851913e-05	0.00724683220306301	2.56166940865345
2111	1.49472050108304	3.22401590352026	6.78588716831389	4.24383074577635e-05	0.00725913489992613	2.55299842182077
9818	1.78181352028832	2.8257301377102	6.77830137411348	4.28456268712783e-05	0.00727531253946384	2.54387134856817
13033	1.20630900688804	2.57110718444239	6.75657499817053	4.40357309703321e-05	0.00732031181096478	2.51768417512758
22211	1.00715716304554	2.0714092837056	6.75454455383324	4.41487600947409e-05	0.00732031181096478	2.51523332455476
17756	-2.1871753465247	3.15870458737083	-6.75171654594	4.43067088832512e-05	0.00732031181096478	2.51181876995432
10033	1.4390348195492	1.816286277963	6.75059816310291	4.43693403837009e-05	0.00732031181096478	2.5104681049179
15849	0.852665487051218	1.61560416216868	6.74167944244703	4.48722344046242e-05	0.00735114640108995	2.49969046862992
8799	1.50453752353045	2.42790890403637	6.73597343394964	4.51971966039797e-05	0.00735260408810056	2.49278906130539
5073	1.115978642906	1.0837887346772	6.72973010853381	4.5555668618614e-05	0.00735945499357512	2.48523230934699
6178	-1.07942324464479	1.662595134855	-6.71633107474896	4.63353890967776e-05	0.00737500079529715	2.46899520111594
10170	1.00887064129779	1.98341835914734	6.71533747596246	4.63937791402802e-05	0.00737500079529715	2.46779009797135
4285	-3.06878916760155	3.06517337863525	-6.7117827100784	4.66033296748341e-05	0.00737500079529715	2.46347745389835
