chrom1,start1,end1,genes1,idx1,chrom2,start2,end2,genes2,idx2
chr21,33000000,33100000,"OLIG1,OLIG2",193,chr21,34800000,34900000,RUNX1,194
chr21,33000000,33100000,"OLIG1,OLIG2",193,chr21,34900000,35000000,RUNX1,194
chr21,33000000,33100000,"OLIG1,OLIG2",193,chr21,36700000,36800000,"SIM2,AP000697.1",195
chr21,34800000,34900000,RUNX1,194,chr21,36700000,36800000,"SIM2,AP000697.1",195
chr21,34900000,35000000,RUNX1,194,chr21,36700000,36800000,"SIM2,AP000697.1",195
chr20,21300000,21400000,"NKX2-4,AL158013.1",190,chr20,22500000,22600000,"FOXA2,LINC00261",191
chr20,21400000,21500000,"NKX2-4,AL158013.1",190,chr20,22500000,22600000,"FOXA2,LINC00261",191
chr20,21300000,21400000,"NKX2-4,AL158013.1",190,chr20,38700000,38800000,SLC32A1,192
chr20,21400000,21500000,"NKX2-4,AL158013.1",190,chr20,38700000,38800000,SLC32A1,192
chr20,22500000,22600000,"FOXA2,LINC00261",191,chr20,38700000,38800000,SLC32A1,192
chr5,42900000,43000000,"ANXA2R,AC025171.5,AC025171.2,AC008875.1,AC025171.1,AC025171.3",58,chr5,50900000,51000000,"LINC02106,AC008808.2,AC008808.1",59
chr5,43000000,43100000,"ANXA2R,AC025171.5,AC025171.2,AC008875.1,AC025171.1,AC025171.3",58,chr5,50900000,51000000,"LINC02106,AC008808.2,AC008808.1",59
chr5,42900000,43000000,"ANXA2R,AC025171.5,AC025171.2,AC008875.1,AC025171.1,AC025171.3",58,chr5,51300000,51400000,"ISL1,AC010478.1",60
chr5,43000000,43100000,"ANXA2R,AC025171.5,AC025171.2,AC008875.1,AC025171.1,AC025171.3",58,chr5,51300000,51400000,"ISL1,AC010478.1",60
chr5,50900000,51000000,"LINC02106,AC008808.2,AC008808.1",59,chr5,51300000,51400000,"ISL1,AC010478.1",60
chr5,42900000,43000000,"ANXA2R,AC025171.5,AC025171.2,AC008875.1,AC025171.1,AC025171.3",58,chr5,55100000,55200000,"GPX8,CDC20B,MIR449A",61
chr5,43000000,43100000,"ANXA2R,AC025171.5,AC025171.2,AC008875.1,AC025171.1,AC025171.3",58,chr5,55100000,55200000,"GPX8,CDC20B,MIR449A",61
chr5,50900000,51000000,"LINC02106,AC008808.2,AC008808.1",59,chr5,55100000,55200000,"GPX8,CDC20B,MIR449A",61
chr5,51300000,51400000,"ISL1,AC010478.1",60,chr5,55100000,55200000,"GPX8,CDC20B,MIR449A",61
chr5,42900000,43000000,"ANXA2R,AC025171.5,AC025171.2,AC008875.1,AC025171.1,AC025171.3",58,chr5,55200000,55300000,"MCIDAS,CCNO,AC026704.1",62
chr5,43000000,43100000,"ANXA2R,AC025171.5,AC025171.2,AC008875.1,AC025171.1,AC025171.3",58,chr5,55200000,55300000,"MCIDAS,CCNO,AC026704.1",62
chr5,50900000,51000000,"LINC02106,AC008808.2,AC008808.1",59,chr5,55200000,55300000,"MCIDAS,CCNO,AC026704.1",62
chr5,51300000,51400000,"ISL1,AC010478.1",60,chr5,55200000,55300000,"MCIDAS,CCNO,AC026704.1",62
chr5,42900000,43000000,"ANXA2R,AC025171.5,AC025171.2,AC008875.1,AC025171.1,AC025171.3",58,chr5,73400000,73500000,"FOXD1,FOXD1-AS1,LINC01385",63
chr5,43000000,43100000,"ANXA2R,AC025171.5,AC025171.2,AC008875.1,AC025171.1,AC025171.3",58,chr5,73400000,73500000,"FOXD1,FOXD1-AS1,LINC01385",63
chr5,50900000,51000000,"LINC02106,AC008808.2,AC008808.1",59,chr5,73400000,73500000,"FOXD1,FOXD1-AS1,LINC01385",63
chr5,51300000,51400000,"ISL1,AC010478.1",60,chr5,73400000,73500000,"FOXD1,FOXD1-AS1,LINC01385",63
chr5,55100000,55200000,"GPX8,CDC20B,MIR449A",61,chr5,73400000,73500000,"FOXD1,FOXD1-AS1,LINC01385",63
chr5,55200000,55300000,"MCIDAS,CCNO,AC026704.1",62,chr5,73400000,73500000,"FOXD1,FOXD1-AS1,LINC01385",63
chr5,42900000,43000000,"ANXA2R,AC025171.5,AC025171.2,AC008875.1,AC025171.1,AC025171.3",58,chr5,77600000,77700000,"OTP,WDR41",64
chr5,43000000,43100000,"ANXA2R,AC025171.5,AC025171.2,AC008875.1,AC025171.1,AC025171.3",58,chr5,77600000,77700000,"OTP,WDR41",64
chr5,50900000,51000000,"LINC02106,AC008808.2,AC008808.1",59,chr5,77600000,77700000,"OTP,WDR41",64
chr5,51300000,51400000,"ISL1,AC010478.1",60,chr5,77600000,77700000,"OTP,WDR41",64
chr5,55100000,55200000,"GPX8,CDC20B,MIR449A",61,chr5,77600000,77700000,"OTP,WDR41",64
chr5,55200000,55300000,"MCIDAS,CCNO,AC026704.1",62,chr5,77600000,77700000,"OTP,WDR41",64
chr5,73400000,73500000,"FOXD1,FOXD1-AS1,LINC01385",63,chr5,77600000,77700000,"OTP,WDR41",64
chr5,42900000,43000000,"ANXA2R,AC025171.5,AC025171.2,AC008875.1,AC025171.1,AC025171.3",58,chr5,77900000,78000000,AC108482.1,65
chr5,43000000,43100000,"ANXA2R,AC025171.5,AC025171.2,AC008875.1,AC025171.1,AC025171.3",58,chr5,77900000,78000000,AC108482.1,65
chr5,50900000,51000000,"LINC02106,AC008808.2,AC008808.1",59,chr5,77900000,78000000,AC108482.1,65
chr5,51300000,51400000,"ISL1,AC010478.1",60,chr5,77900000,78000000,AC108482.1,65
chr5,55100000,55200000,"GPX8,CDC20B,MIR449A",61,chr5,77900000,78000000,AC108482.1,65
chr5,55200000,55300000,"MCIDAS,CCNO,AC026704.1",62,chr5,77900000,78000000,AC108482.1,65
chr5,73400000,73500000,"FOXD1,FOXD1-AS1,LINC01385",63,chr5,77900000,78000000,AC108482.1,65
chr5,77600000,77700000,"OTP,WDR41",64,chr5,77900000,78000000,AC108482.1,65
chr5,42900000,43000000,"ANXA2R,AC025171.5,AC025171.2,AC008875.1,AC025171.1,AC025171.3",58,chr5,123000000,123100000,"PRDM6,AC106786.1",66
chr5,43000000,43100000,"ANXA2R,AC025171.5,AC025171.2,AC008875.1,AC025171.1,AC025171.3",58,chr5,123000000,123100000,"PRDM6,AC106786.1",66
chr5,50900000,51000000,"LINC02106,AC008808.2,AC008808.1",59,chr5,123000000,123100000,"PRDM6,AC106786.1",66
chr5,51300000,51400000,"ISL1,AC010478.1",60,chr5,123000000,123100000,"PRDM6,AC106786.1",66
chr5,55100000,55200000,"GPX8,CDC20B,MIR449A",61,chr5,123000000,123100000,"PRDM6,AC106786.1",66
chr5,55200000,55300000,"MCIDAS,CCNO,AC026704.1",62,chr5,123000000,123100000,"PRDM6,AC106786.1",66
chr5,73400000,73500000,"FOXD1,FOXD1-AS1,LINC01385",63,chr5,123000000,123100000,"PRDM6,AC106786.1",66
chr5,77600000,77700000,"OTP,WDR41",64,chr5,123000000,123100000,"PRDM6,AC106786.1",66
chr5,77900000,78000000,AC108482.1,65,chr5,123000000,123100000,"PRDM6,AC106786.1",66
chr5,42900000,43000000,"ANXA2R,AC025171.5,AC025171.2,AC008875.1,AC025171.1,AC025171.3",58,chr5,135000000,135100000,"PITX1,C5orf66,AC008406.3",67
chr5,43000000,43100000,"ANXA2R,AC025171.5,AC025171.2,AC008875.1,AC025171.1,AC025171.3",58,chr5,135000000,135100000,"PITX1,C5orf66,AC008406.3",67
chr5,50900000,51000000,"LINC02106,AC008808.2,AC008808.1",59,chr5,135000000,135100000,"PITX1,C5orf66,AC008406.3",67
chr5,51300000,51400000,"ISL1,AC010478.1",60,chr5,135000000,135100000,"PITX1,C5orf66,AC008406.3",67
chr5,55100000,55200000,"GPX8,CDC20B,MIR449A",61,chr5,135000000,135100000,"PITX1,C5orf66,AC008406.3",67
chr5,55200000,55300000,"MCIDAS,CCNO,AC026704.1",62,chr5,135000000,135100000,"PITX1,C5orf66,AC008406.3",67
chr5,73400000,73500000,"FOXD1,FOXD1-AS1,LINC01385",63,chr5,135000000,135100000,"PITX1,C5orf66,AC008406.3",67
chr5,77600000,77700000,"OTP,WDR41",64,chr5,135000000,135100000,"PITX1,C5orf66,AC008406.3",67
chr5,77900000,78000000,AC108482.1,65,chr5,135000000,135100000,"PITX1,C5orf66,AC008406.3",67
chr5,123000000,123100000,"PRDM6,AC106786.1",66,chr5,135000000,135100000,"PITX1,C5orf66,AC008406.3",67
chr5,42900000,43000000,"ANXA2R,AC025171.5,AC025171.2,AC008875.1,AC025171.1,AC025171.3",58,chr5,146300000,146400000,"POU4F3,AC091959.3,AC011396.2",68
